ticker,date,close
509099.BO,2026-07-07,74.9000015258789
509099.BO,2026-07-08,74.9000015258789
509099.BO,2026-07-09,74.9000015258789
509099.BO,2026-07-10,74.9000015258789
509099.BO,2026-07-13,74.9000015258789
509162.BO,2026-07-06,101.8000030517578
509162.BO,2026-07-07,97.5500030517578
509162.BO,2026-07-08,94.0
509162.BO,2026-07-09,97.5500030517578
509162.BO,2026-07-10,97.0
509162.BO,2026-07-13,98.3000030517578
509438.BO,2026-07-06,10374.9501953125
509438.BO,2026-07-07,10345.7001953125
509438.BO,2026-07-08,10232.599609375
509438.BO,2026-07-09,10378.2998046875
509438.BO,2026-07-10,10382.5498046875
509438.BO,2026-07-13,10422.150390625
509597.BO,2026-07-06,843.8499755859375
509597.BO,2026-07-07,835.2000122070312
509597.BO,2026-07-08,833.5499877929688
509597.BO,2026-07-09,839.0
509597.BO,2026-07-10,838.5499877929688
509597.BO,2026-07-13,840.2000122070312
509960.BO,2026-07-06,1391.699951171875
509960.BO,2026-07-07,1399.9000244140625
509960.BO,2026-07-08,1355.4000244140625
509960.BO,2026-07-09,1420.6500244140625
509960.BO,2026-07-10,1406.3499755859375
509960.BO,2026-07-13,1425.0
511000.BO,2026-07-06,17.100000381469727
511000.BO,2026-07-07,17.440000534057617
511000.BO,2026-07-08,17.15999984741211
511000.BO,2026-07-09,16.899999618530273
511000.BO,2026-07-10,16.110000610351562
511000.BO,2026-07-13,16.6200008392334
511012.BO,2026-07-06,0.6399999856948853
511012.BO,2026-07-07,0.6399999856948853
511012.BO,2026-07-08,0.6200000047683716
511012.BO,2026-07-09,0.6299999952316284
511012.BO,2026-07-10,0.6200000047683716
511012.BO,2026-07-13,0.6200000047683716
511016.BO,2026-07-06,5.480000019073486
511016.BO,2026-07-07,5.210000038146973
511016.BO,2026-07-08,4.960000038146973
511016.BO,2026-07-09,4.900000095367432
511016.BO,2026-07-10,4.659999847412109
511016.BO,2026-07-13,4.429999828338623
511018.BO,2026-07-06,46.02000045776367
511018.BO,2026-07-07,46.0
511018.BO,2026-07-08,44.209999084472656
511018.BO,2026-07-09,42.11000061035156
511018.BO,2026-07-10,42.060001373291016
511018.BO,2026-07-13,42.150001525878906
511066.BO,2026-07-06,29.209999084472656
511066.BO,2026-07-07,28.8700008392334
511066.BO,2026-07-08,28.25
511066.BO,2026-07-09,28.61000061035156
511066.BO,2026-07-10,28.920000076293945
511066.BO,2026-07-13,29.01000022888184
511176.BO,2026-07-06,66.66999816894531
511176.BO,2026-07-07,66.66999816894531
511176.BO,2026-07-08,66.66999816894531
511176.BO,2026-07-09,66.66999816894531
511176.BO,2026-07-10,69.98999786376953
511176.BO,2026-07-13,67.55000305175781
511391.BO,2026-07-06,73.38999938964844
511391.BO,2026-07-07,76.4000015258789
511391.BO,2026-07-08,74.0
511391.BO,2026-07-09,73.98999786376953
511391.BO,2026-07-10,70.30000305175781
511391.BO,2026-07-13,72.9000015258789
511501.BO,2026-07-06,23.96999931335449
511501.BO,2026-07-07,24.059999465942383
511501.BO,2026-07-08,24.38999938964844
511501.BO,2026-07-09,24.520000457763672
511501.BO,2026-07-10,24.75
511501.BO,2026-07-13,24.690000534057617
511523.BO,2026-07-06,33.93000030517578
511523.BO,2026-07-07,33.95000076293945
511523.BO,2026-07-08,37.08000183105469
511523.BO,2026-07-09,37.77000045776367
511523.BO,2026-07-10,38.0
511523.BO,2026-07-13,38.81999969482422
511533.BO,2026-07-06,44.720001220703125
511533.BO,2026-07-07,41.970001220703125
511533.BO,2026-07-08,40.0
511533.BO,2026-07-09,40.130001068115234
511533.BO,2026-07-10,41.43000030517578
511533.BO,2026-07-13,41.97999954223633
511549.BO,2026-07-06,63.058780670166016
511549.BO,2026-07-07,63.43000030517578
511549.BO,2026-07-08,61.040000915527344
511549.BO,2026-07-09,60.06999969482422
511549.BO,2026-07-10,60.02999877929688
511549.BO,2026-07-13,60.0
511563.BO,2026-07-06,56.38999938964844
511563.BO,2026-07-07,56.38999938964844
511563.BO,2026-07-08,56.38999938964844
511563.BO,2026-07-09,56.38999938964844
511563.BO,2026-07-10,56.38999938964844
511563.BO,2026-07-13,56.38999938964844
511644.BO,2026-07-06,48.43000030517578
511644.BO,2026-07-07,46.0099983215332
511644.BO,2026-07-08,43.709999084472656
511644.BO,2026-07-09,41.52999877929688
511644.BO,2026-07-10,39.459999084472656
511644.BO,2026-07-13,37.4900016784668
511728.BO,2026-07-06,18.549999237060547
511728.BO,2026-07-07,17.6299991607666
511728.BO,2026-07-08,17.6299991607666
511728.BO,2026-07-09,16.75
511728.BO,2026-07-10,16.75
511728.BO,2026-07-13,16.75
511758.BO,2026-07-06,61.0
511758.BO,2026-07-07,61.0
511758.BO,2026-07-08,61.0
511758.BO,2026-07-09,60.2599983215332
511758.BO,2026-07-10,60.2599983215332
511758.BO,2026-07-13,62.18000030517578
512097.BO,2026-07-06,0.2300000041723251
512097.BO,2026-07-07,0.2199999988079071
512097.BO,2026-07-08,0.2199999988079071
512097.BO,2026-07-09,0.2199999988079071
512097.BO,2026-07-10,0.2300000041723251
512097.BO,2026-07-13,0.2199999988079071
512103.BO,2026-07-06,353.3500061035156
512103.BO,2026-07-07,365.0
512103.BO,2026-07-08,374.8999938964844
512103.BO,2026-07-09,356.20001220703125
512103.BO,2026-07-10,365.3500061035156
512103.BO,2026-07-13,372.9500122070313
512115.BO,2026-07-06,65.69000244140625
512115.BO,2026-07-07,65.5
512115.BO,2026-07-08,62.93000030517578
512115.BO,2026-07-09,62.68000030517578
512115.BO,2026-07-10,62.9900016784668
512115.BO,2026-07-13,66.0
512169.BO,2026-07-06,15.729999542236328
512169.BO,2026-07-07,16.510000228881836
512169.BO,2026-07-08,17.329999923706055
512169.BO,2026-07-09,18.100000381469727
512169.BO,2026-07-10,17.200000762939453
512169.BO,2026-07-13,17.450000762939453
512221.BO,2026-07-10,14.449999809265137
512221.BO,2026-07-13,14.449999809265137
512257.BO,2026-07-06,3.7200000286102295
512257.BO,2026-07-07,3.7100000381469727
512257.BO,2026-07-08,3.630000114440918
512257.BO,2026-07-09,3.7100000381469727
512257.BO,2026-07-10,3.640000104904175
512257.BO,2026-07-13,3.559999942779541
512408.BO,2026-07-10,10.050000190734863
512441.BO,2026-07-06,0.3000000119209289
512441.BO,2026-07-07,0.2899999916553497
512441.BO,2026-07-08,0.2800000011920929
512441.BO,2026-07-09,0.270000010728836
512441.BO,2026-07-10,0.2599999904632568
512441.BO,2026-07-13,0.270000010728836
512604.BO,2026-07-06,6.820000171661377
512604.BO,2026-07-07,6.820000171661377
512604.BO,2026-07-08,7.159999847412109
512604.BO,2026-07-09,6.849999904632568
512604.BO,2026-07-10,7.190000057220459
512604.BO,2026-07-13,7.0
512634.BO,2026-07-06,161.0
512634.BO,2026-07-07,161.14999389648438
512634.BO,2026-07-08,156.0
512634.BO,2026-07-09,157.0
512634.BO,2026-07-10,161.5
512634.BO,2026-07-13,163.0
513119.BO,2026-07-06,679.9000244140625
513119.BO,2026-07-07,670.0
513119.BO,2026-07-08,656.4000244140625
513119.BO,2026-07-09,643.2999877929688
513119.BO,2026-07-10,633.75
513119.BO,2026-07-13,643.9000244140625
513430.BO,2026-07-06,35.36000061035156
513430.BO,2026-07-07,33.599998474121094
513430.BO,2026-07-08,34.0
513430.BO,2026-07-09,34.0
513430.BO,2026-07-10,35.63999938964844
513430.BO,2026-07-13,36.5
513507.BO,2026-07-06,151.39999389648438
513507.BO,2026-07-07,158.9499969482422
513507.BO,2026-07-08,151.0500030517578
513507.BO,2026-07-09,158.60000610351562
513507.BO,2026-07-10,158.60000610351562
513507.BO,2026-07-13,158.60000610351562
513540.BO,2026-07-06,22.0
513540.BO,2026-07-07,22.0
513540.BO,2026-07-08,22.0
513540.BO,2026-07-09,22.0
513540.BO,2026-07-10,22.0
513540.BO,2026-07-13,22.0
513687.BO,2026-07-06,3.4200000762939453
513687.BO,2026-07-07,3.490000009536743
513687.BO,2026-07-08,3.650000095367432
513687.BO,2026-07-09,3.829999923706055
513687.BO,2026-07-10,3.900000095367432
513687.BO,2026-07-13,4.090000152587891
513709.BO,2026-07-06,151.10000610351562
513709.BO,2026-07-07,154.5
513709.BO,2026-07-08,147.85000610351562
513709.BO,2026-07-09,139.9499969482422
513709.BO,2026-07-10,143.5500030517578
513709.BO,2026-07-13,146.0
514280.BO,2026-07-06,129.60000610351562
514280.BO,2026-07-07,129.0
514280.BO,2026-07-08,133.39999389648438
514280.BO,2026-07-09,131.0
514280.BO,2026-07-10,131.1999969482422
514280.BO,2026-07-13,131.1999969482422
514330.BO,2026-07-06,612.5499877929688
514330.BO,2026-07-07,643.1500244140625
514330.BO,2026-07-08,611.25
514330.BO,2026-07-09,618.0
514330.BO,2026-07-10,613.0
514330.BO,2026-07-13,594.2000122070312
514402.BO,2026-07-06,13.4399995803833
514402.BO,2026-07-07,13.0
514402.BO,2026-07-08,13.0
514402.BO,2026-07-09,12.9399995803833
514402.BO,2026-07-10,12.880000114440918
514402.BO,2026-07-13,12.899999618530272
514448.BO,2026-07-06,991.9000244140624
514448.BO,2026-07-07,996.3499755859376
514448.BO,2026-07-08,962.4000244140624
514448.BO,2026-07-09,984.0
514448.BO,2026-07-10,983.2999877929688
514448.BO,2026-07-13,961.9000244140624
514470.BO,2026-07-06,94.0
514470.BO,2026-07-07,95.8499984741211
514470.BO,2026-07-08,91.95999908447266
514470.BO,2026-07-09,93.41999816894533
514470.BO,2026-07-10,92.5199966430664
514470.BO,2026-07-13,91.44000244140624
515043.BO,2026-07-06,136.10000610351562
515043.BO,2026-07-07,136.0
515043.BO,2026-07-08,134.25
515043.BO,2026-07-09,133.4499969482422
515043.BO,2026-07-10,133.8000030517578
515043.BO,2026-07-13,135.0500030517578
516078.BO,2026-07-06,58.0
516078.BO,2026-07-07,58.75
516078.BO,2026-07-08,57.2400016784668
516078.BO,2026-07-09,61.84999847412109
516078.BO,2026-07-10,63.72999954223633
516078.BO,2026-07-13,66.62999725341797
517238.BO,2026-07-06,200.1999969482422
517238.BO,2026-07-07,200.1999969482422
517238.BO,2026-07-08,200.0500030517578
517238.BO,2026-07-09,202.1000061035156
517238.BO,2026-07-10,204.25
517238.BO,2026-07-13,200.1499938964844
517477.BO,2026-07-06,330.04998779296875
517477.BO,2026-07-07,330.04998779296875
517477.BO,2026-07-08,322.20001220703125
517477.BO,2026-07-09,326.20001220703125
517477.BO,2026-07-10,327.20001220703125
517477.BO,2026-07-13,324.6499938964844
517494.BO,2026-07-06,12.529999732971191
517494.BO,2026-07-07,12.619999885559082
517494.BO,2026-07-08,12.8100004196167
517494.BO,2026-07-09,12.489999771118164
517494.BO,2026-07-10,12.649999618530272
