ticker,name,exchange,yf_symbol
544059.BO,SHANTI SPINTEX LIMITED,BSE,SHANTIDENM.BO
544072.BO,AIK Pipes and Polymers Limited,BSE,AIKPIPES.BO
544073.BO,Manoj Ceramic Limited,BSE,MCPL.BO
544074.BO,Shri Balaji Valve Components L,BSE,SBVCL.BO
544080.BO,Sayaji Hotels (Indore) Limited,BSE,SHILINDORE.BO
544082.BO,New Swan Multitech Limited,BSE,SWANAGRO.BO
544083.BO,Shree Marutinandan Tubes Limit,BSE,SHREE.BO
544089.BO,Zerodha Mutual Fund,BSE,LIQUIDCASE.BO
544090.BO,Sayaji Hotels (Pune) Limited,BSE,SHPLPUNE.BO
544091.BO,Qualitek Labs Limited,BSE,QLL.BO
544092.BO,Bajaj Finserv Mutual Fund,BSE,NIFTYBETF.BO
544093.BO,Bajaj Finserv Mutual Fund,BSE,BANKBETF.BO
544094.BO,Euphoria Infotech (India) Limi,BSE,EUPHORIAIT.BO
544102.BO,UTI Mutual Fund,BSE,NIFITETF.BO
544103.BO,UTI Mutual Fund,BSE,NIF5GETF.BO
544105.BO,HARSHDEEP HORTICO LIMITED,BSE,HARSHDEEP.BO
544106.BO,Mayank Cattle Food Limited,BSE,MCFL.BO
544108.BO,Gabriel Pet Straps Limited,BSE,GPSL.BO
544109.BO,DSP Mutual Fund,BSE,HEALTHADD.BO
544110.BO,HDFC Mutual Fund,BSE,HDFCPSUBK.BO
544112.BO,JASCH GAUGING TECHNOLOGIES LIM,BSE,JGTL.BO
544121.BO,Rudra Gas Enterprise Limited,BSE,RUDRAGAS.BO
544123.BO,LIC Mutual Fund,BSE,LICNMID100.BO
544130.BO,Mirae Asset Mutual Fund,BSE,SMALLCAP.BO
544132.BO,Zerodha Mutual Fund,BSE,GOLDCASE.BO
544137.BO,Bharat Highways InvIT,BSE,BHINVIT.BO
544139.BO,KOURA FINE DIAMOND JEWELRY LIM,BSE,KOURA.BO
544141.BO,Pune E - Stock Broking Limited,BSE,PESB.BO
544143.BO,Royal Sense Limited,BSE,ROYAL.BO
544150.BO,KP GREEN ENGINEERING LIMITED,BSE,KPGEL.BO
544151.BO,CHATHA FOODS LIMITED,BSE,CHATHA.BO
544156.BO,Gconnect Logitech and Supply C,BSE,GCONNECT.BO
544159.BO,DSP BSE Liquid Rate ETF,BSE,LIQUIDADD.BO
544160.BO,Jay Kailash Namkeen Limited,BSE,JAYKAILASH.BO
544163.BO,Greenhitech Ventures Limited,BSE,GVL.BO
544164.BO,Faalcon Concepts Limited,BSE,FAALCON.BO
544165.BO,SHIVAM CHEMICALS LIMITED,BSE,SHIVAM.BO
544166.BO,EMMFORCE AUTOTECH LIMITED,BSE,EMMFORCE.BO
544168.BO,VARYAA CREATIONS LIMITED,BSE,VARYAA.BO
544169.BO,Amkay Products Limited,BSE,AMKAY.BO
544170.BO,Sai Swami Metals and Alloys Li,BSE,SAI.BO
544171.BO,Storage Technologies and Autom,BSE,STAL.BO
544173.BO,Finelistings Technologies Limi,BSE,FTL.BO
544175.BO,TGIF AGRIBUSINESS LIMITED,BSE,TGIF.BO
544177.BO,Aztec Fluids & Machinery Limit,BSE,AZTEC.BO
544178.BO,PIOTEX INDUSTRIES LIMITED,BSE,PIOTEX.BO
544180.BO,Mirae Asset Mutual Fund,BSE,MIDSMALL.BO
544183.BO,Associated Coaters Limited,BSE,ASSOCIATED.BO
544185.BO,ADTECH SYSTEMS LIMITED,BSE,ADTECH.BO
544186.BO,Forbes Precision Tools and Mac,BSE,TOTEM.BO
544188.BO,Magenta Lifecare Limited,BSE,MAGENTA.BO
544189.BO,SATTRIX INFORMATION SECURITY L,BSE,SATTRIX.BO
