ticker,name,sector,price,market_cap,pe,pb,roe_pct,de,eps,earnings_yield,dividend_yield_pct,profit_margin,rev_growth,ni_growth,debt_growth,years_of_data,revenue_y0,revenue_y1,revenue_y2,revenue_y3,net_income_y0,net_income_y1,net_income_y2,net_income_y3,total_debt_y0,total_debt_y1,total_debt_y2,total_debt_y3,equity_y0,equity_y1,equity_y2,equity_y3,roe_y0,roe_y1,roe_y2,roe_y3,de_y0,de_y1,de_y2,de_y3,cash_conversion,earnings_spike,non_op_pct,quality_pass,graham_pass,greenblatt_pass,dorsey_pass,trajectory_pass,score,updated_date
504080.BO,"504080.BO,0P0000TEJ3,3",,1936.75,2343080192.0,32.41965,6.2287936,,,,3.08,,,5.24,-48.96,-21.35,5,564261000.0,536146000.0,513468000.0,488899000.0,32916000.0,64488000.0,61610000.0,34408000.0,21178000.0,26928000.0,33465000.0,25465000.0,467347000.0,459474000.0,395152000.0,333593000.0,7.04,14.04,15.59,10.31,4.53,5.86,8.47,7.63,2.59,0.52,6.5,True,False,False,False,True,1,2026-06-22
504084.BO,"504084.BO,0P0000BPYO,3770",,1697.6,5501683712.0,95.37079,20.53118,,,,1.05,,,12.87,-23.68,-15.89,5,600509000.0,532041000.0,485406000.0,415891000.0,44043000.0,57707000.0,44946000.0,34944000.0,30508000.0,36270000.0,41343000.0,45788000.0,333164000.0,295344000.0,238313000.0,197759000.0,13.22,19.54,18.86,17.67,9.16,12.28,17.35,23.15,1.03,0.86,-48.37,True,False,False,False,True,1,2026-06-22
504092.BO,"504092.BO,0P0000ANLL,4413",,86.92,2424050944.0,,4.1309824,,,,,,,-4.89,-41.01,21.25,5,1693900000.0,1780900000.0,1648000000.0,1600300000.0,18700000.0,31700000.0,-61900000.0,-13200000.0,268200000.0,221200000.0,224000000.0,223200000.0,644800000.0,618300000.0,586800000.0,614000000.0,2.9,5.13,-10.55,-2.15,41.59,35.78,38.17,36.35,-2.24,0.59,-31.02,False,False,False,False,False,0,2026-06-22
504093.BO,Panasonic Energy India Co. Ltd.,,567.75,4319356928.0,30.889555,4.1433444,,,,3.24,,,0.6,-70.38,8.74,5,2700318000.0,2684147000.0,2924213000.0,2529054000.0,34868000.0,117731000.0,116435000.0,-106364000.0,13722000.0,12619000.0,11838000.0,13780000.0,1031674000.0,1078065000.0,1027702000.0,917680000.0,3.38,10.92,11.33,-11.59,1.33,1.17,1.15,1.5,3.81,0.3,-76.22,True,False,False,False,False,0,2026-06-22
504132.BO,"504132.BO,0P0000BL5F,5879",,1037.1,9102792704.0,48.896748,6.3552856,,,,2.05,,,10.33,-6.22,269.4,5,2262400000.0,2050500000.0,1942200000.0,0.0,147700000.0,157500000.0,202000000.0,0.0,879900000.0,238200000.0,244800000.0,76001000.0,1573900000.0,1440400000.0,1298500000.0,1109503000.0,9.38,10.93,15.56,,55.91,16.54,18.85,6.85,1.19,0.82,-50.03,True,False,False,False,False,0,2026-06-22
504176.BO,"504176.BO,0P0000ARZC,17986",,724.55,6546410496.0,51.49609,7.2499948,,,,1.94,,,2.91,0.4,2.72,5,831024000.0,807522000.0,772251000.0,925380000.0,153918000.0,153299000.0,171587000.0,204951000.0,115561000.0,112497000.0,47707000.0,208466000.0,1115024000.0,996000000.0,877080000.0,734814000.0,13.8,15.39,19.56,27.89,10.36,11.29,5.44,28.37,0.93,0.95,-49.69,True,False,False,False,False,0,2026-06-22
504180.BO,"504180.BO,0P0000UZ7G,4625",,79.89,413120768.0,32.21371,64.79318,,,,3.1,,,,-160.74,,5,0.0,0.0,0.0,0.0,-4960000.0,8166000.0,-500000.0,-53731000.0,,,,,9581000.0,14541000.0,6375000.0,6875000.0,-51.77,56.16,-7.84,-781.54,,,,,,-0.61,,True,False,False,False,False,0,2026-06-22
504240.BO,"504240.BO,0P0000C9L7,269",,505.55,4500658688.0,20.303213,6.1236477,,,,4.93,,,39.07,-28.23,-0.0,5,9863799000.0,7092641000.0,4008597000.0,2683162000.0,147204000.0,205100000.0,146565000.0,5775000.0,1842248000.0,1842260000.0,1131303000.0,753745000.0,3433788000.0,904520000.0,713292000.0,567142000.0,4.29,22.68,20.55,1.02,53.65,203.67,158.6,132.9,-0.39,0.84,-287.35,False,False,False,False,False,0,2026-06-22
504258.BO,"504258.BO,0P0000B025,2467",,1512.45,3800544768.0,80.02381,1.3205341,,,,1.25,,,11.9,-65.82,41.88,5,2375805000.0,2123122000.0,3376694000.0,3603304000.0,11870000.0,34723000.0,139601000.0,199270000.0,144262000.0,101677000.0,66546000.0,75966000.0,2551685000.0,2853313000.0,2815225000.0,2319786000.0,0.47,1.22,4.96,8.59,5.65,3.56,2.36,3.27,3.11,0.14,,True,False,False,False,False,0,2026-06-22
504273.BO,"504273.BO,0P00019V3Y,24352",,10.17,703782336.0,11.556818,0.2540785,,,,8.65,,,,-431.64,-19.71,5,0.0,0.0,0.0,0.0,-147743000.0,44549000.0,-68986000.0,-90298000.0,145545000.0,181275000.0,53389000.0,224871000.0,3203508000.0,3012143000.0,2769906000.0,2593216000.0,-4.61,1.48,-2.49,-3.48,4.54,6.02,1.93,8.67,,-3.32,,True,True,False,False,False,1,2026-06-22
